materialSampleID,samplingStation,eventDate,eventTime,dateFiltration,timeFiltration,recordedBy,sampleDepth,waterColumnDepth,target_depth,replicate,controlType,CastID,SampleID,decimalLatitude,decimalLongitude,volumeFiltered,perservation,ABLsample ID,ABL_Extraction_ID,totalDNAconc,unitsDNAconc,ExtractedBy,tide,depthWaterTemp
Sample-1,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Bottom,1,,757A004,141019,44 49.3125,-62 28.7752,3,Self-preserve,43840,TUBES807,6.6,ng/ul,Mallory VW,,
Sample-2,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Surface,2,,757A003,141017,44 46.1446,-62 26.2013,3.25,Self-preserve,43841,TUBES807,5.07,ng/ul,Mallory VW,,
Sample-3,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Bottom,2,,757A003,141014,44 46.1446,-62 26.2013,,Frozen,43842,TUBES807,2.8,ng/ul,Mallory VW,,
Sample-4,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Surface,2,,757A002,141011,44 43.0568,-62 23.5654,2,Frozen,43843,TUBES807,3.8,ng/ul,Mallory VW,,
Sample-5,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Bottom,2,,757A002,141008,44 43.0568,-62 23.5654,3,Frozen,43844,TUBES807,2.69,ng/ul,Mallory VW,,
Sample-6,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Bottom,3,,757A004,141021,44 49.3125,-62 28.7752,,Frozen,43845,TUBES807,5.03,ng/ul,Mallory VW,,
Sample-7,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Surface,3,,757A002,141012,44 43.0568,-62 23.5654,2,Frozen,43846,TUBES807,4.46,ng/ul,Mallory VW,,
Sample-8,ESI_08,4/21/2023,8:32:00,4/21/2023,8:32:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",114,114,Bottom,3,,757A001,141003,44 40.0813,-62 20.8761,3.5,Frozen,43847,TUBES807,5.66,ng/ul,Mallory VW,,
Sample-9,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Bottom,3,,757A002,141009,44 43.0568,-62 23.5654,3,Frozen,43848,TUBES807,4.38,ng/ul,Mallory VW,,
Sample-10,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Bottom,1,,757A002,141007,44 43.0568,-62 23.5654,3,Frozen,43849,TUBES807,6.62,ng/ul,Mallory VW,,
Sample-11,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Surface,1,,757A004,141022,44 49.3125,-62 28.7752,3.04,Self-preserve,43850,TUBES807,4.39,ng/ul,Mallory VW,,
Sample-12,ESI_08,4/21/2023,8:32:00,4/21/2023,8:32:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",114,114,Surface,1,,757A001,141004,44 40.0813,-62 20.8761,1.5,Frozen,43851,TUBES807,3.93,ng/ul,Mallory VW,,
Sample-13,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Surface,3,,757A004,141024,44 49.3125,-62 28.7752,3,Frozen,43852,TUBES807,2.63,ng/ul,Mallory VW,,
Sample-14,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Bottom,1,,757A003,141013,44 46.1446,-62 26.2013,1.75,Self-preserve,43853,TUBES807,3.41,ng/ul,Mallory VW,,
Sample-15,ESI_08,4/21/2023,8:32:00,4/21/2023,8:32:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",114,114,Bottom,1,,757A001,141001,44 40.0813,-62 20.8761,3.5,Frozen,43854,TUBES807,2.57,ng/ul,Mallory VW,,
Sample-16,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Bottom,3,,757A003,141015,44 46.1446,-62 26.2013,1.1,Self-preserve,43855,TUBES807,3.82,ng/ul,Mallory VW,,
Sample-17,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Surface,1,,757A002,141010,44 43.0568,-62 23.5654,1.5,Frozen,43856,TUBES807,3.68,ng/ul,Mallory VW,,
Sample-18,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Surface,2,,757A004,141023,44 49.3125,-62 28.7752,3.02,Frozen,43857,TUBES807,3.28,ng/ul,Mallory VW,,
Sample-19,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Bottom,2,,757A004,141020,44 49.3125,-62 28.7752,3.14,Frozen,43858,TUBES807,6.91,ng/ul,Mallory VW,,
Sample-20,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Surface,3,,757A003,141018,44 46.1446,-62 26.2013,3.07,Frozen,43859,TUBES807,4.93,ng/ul,Mallory VW,,
Sample-21,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Surface,1,,757A003,141016,44 46.1446,-62 26.2013,3,Frozen,43860,TUBES807,4.71,ng/ul,Mallory VW,,
Sample-22,field blank,4/21/2023,,4/21/2023,,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",,,,,field blank,,,,,2.2,Self-preserve,43861,TUBES807,0,ng/ul,Mallory VW,,
Sample-23,ESI_08,11/10/2023,8:27:00,11/10/2023,8:27:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",112,112,Surface,1,,978A001,413478,44 40.1969,62 20.8906,3.25,Frozen,2023ESI_01,TUBES872,3.83,ng/ul,VLY,,
Sample-24,ESI_08,11/10/2023,8:27:00,11/10/2023,8:27:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",112,112,Surface,2,,978A001,413479,44 40.1969,62 20.8906,3.23,Frozen,2023ESI_02,TUBES872,3.2,ng/ul,VLY,,
Sample-25,ESI_08,11/10/2023,8:27:00,11/10/2023,8:27:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",112,112,Surface,3,,978A001,413480,44 40.1969,62 20.8906,3.18,Frozen,2023ESI_03,TUBES872,4.37,ng/ul,VLY,,
Sample-26,ESI_07,11/10/2023,9:21:00,11/10/2023,9:21:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",74,74,Deep,1,,978A002,413481,44 43.2908,62 23.4749,3.31,Frozen,2023ESI_04,TUBES872,1.88,ng/ul,VLY,,
Sample-27,ESI_07,11/10/2023,9:21:00,11/10/2023,9:21:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",74,74,Deep,2,,978A002,413482,44 43.2908,62 23.4749,3.26,Frozen,2023ESI_05,TUBES872,1.33,ng/ul,VLY,,
Sample-28,ESI_07,11/10/2023,9:21:00,11/10/2023,9:21:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",74,74,Deep,3,,978A002,413483,44 43.2908,62 23.4749,3.2,Frozen,2023ESI_06,TUBES872,2.27,ng/ul,VLY,,
Sample-29,ESI_07,11/10/2023,9:21:00,11/10/2023,9:21:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",74,74,Surface,1,,978A002,413484,44 43.2908,62 23.4749,3.22,Frozen,2023ESI_07,TUBES872,4.7,ng/ul,VLY,,
Sample-30,ESI_07,11/10/2023,9:21:00,11/10/2023,9:21:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",74,74,Surface,2,,978A002,413485,44 43.2908,62 23.4749,3.21,Frozen,2023ESI_08,TUBES872,3.82,ng/ul,VLY,,
Sample-31,ESI_07,11/10/2023,10:13:00,11/10/2023,10:13:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",74,74,Surface,3,,978A002,413486,44 43.2908,62 23.4749,3.23,Frozen,2023ESI_09,TUBES872,2.41,ng/ul,VLY,,
Sample-32,ESI_06,11/10/2023,10:13:00,11/10/2023,10:13:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",30.9,30.9,Deep,1,,978A003,413487,44 46.2149,62 26.0894,3.28,Frozen,2023ESI_10,TUBES872,1.81,ng/ul,VLY,,
Sample-33,ESI_06,11/10/2023,10:13:00,11/10/2023,10:13:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",30.9,30.9,Deep,2,,978A003,413488,44 46.2149,62 26.0894,3.23,Frozen,2023ESI_11,TUBES872,2.19,ng/ul,VLY,,
Sample-34,ESI_06,11/10/2023,10:13:00,11/10/2023,10:13:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",30.9,30.9,Deep,3,,978A003,413489,44 46.2149,62 26.0894,3.25,Frozen,2023ESI_12,TUBES872,2.62,ng/ul,VLY,,
Sample-35,ESI_06,11/10/2023,10:13:00,11/10/2023,10:13:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",30.9,30.9,Surface,1,,978A003,413490,44 46.2149,62 26.0894,3.25,Frozen,2023ESI_13,TUBES872,4.31,ng/ul,VLY,,
Sample-36,ESI_06,11/10/2023,10:13:00,11/10/2023,10:13:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",30.9,30.9,Surface,2,,978A003,413491,44 46.2149,62 26.0894,3.31,Frozen,2023ESI_14,TUBES872,3.78,ng/ul,VLY,,
Sample-37,ESI_06,11/10/2023,10:13:00,11/10/2023,10:13:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",30.9,30.9,Surface,3,,978A003,413492,44 46.2149,62 26.0894,,Frozen,2023ESI_15,TUBES872,2.7,ng/ul,VLY,,
Sample-38,ESI_05,11/10/2023,11:01:00,11/10/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",12.8,12.8,Deep,1,,978A004,413493,44 49.1452,62 29.5087,3.39,Frozen,2023ESI_16,TUBES872,3.31,ng/ul,VLY,,
Sample-39,ESI_05,11/10/2023,11:01:00,11/10/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",12.8,12.8,Deep,2,,978A004,413494,44 49.1452,62 29.5087,,Frozen,2023ESI_17,TUBES872,2.61,ng/ul,VLY,,
Sample-40,ESI_05,11/10/2023,11:01:00,11/10/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",12.8,12.8,Deep,3,,978A004,413495,44 49.1452,62 29.5087,3.14,Frozen,2023ESI_18,TUBES872,2.58,ng/ul,VLY,,
Sample-41,ESI_05,11/10/2023,11:01:00,11/10/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",12.8,12.8,Surface,1,,978A004,413496,44 49.1452,62 29.5087,3.17,Frozen,2023ESI_19,TUBES872,3.4,ng/ul,VLY,,
Sample-42,ESI_05,11/10/2023,11:01:00,11/10/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",12.8,12.8,Surface,2,,978A004,413497,44 49.1452,62 29.5087,,Frozen,2023ESI_20,TUBES872,3.52,ng/ul,VLY,,
Sample-43,ESI_05,11/10/2023,11:01:00,11/10/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",12.8,12.8,Surface,3,,978A004,413498,44 49.1452,62 29.5087,3.23,Frozen,2023ESI_21,TUBES872,3.15,ng/ul,VLY,,
Sample-44,field blank,11/10/2023,,11/10/2023,,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",,,,,field blank,,,,,,,2023ESI_22,TUBES872,0.548,ng/ul,VLY,,
Sample-45,field blank,11/10/2023,,11/10/2023,,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",,,,,field blank,,,,,,,2023ESI_23,TUBES872,0.564,ng/ul,VLY,,
Sample-46,ESI_06,8/11/2023,9:35:00,8/11/2023,9:35:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",34.5,34.5,Bottom,1,,767A001,413322,44 46.3804,62 26.0875,3.4,Frozen,2023ESI_24,TUBES874,2.27,ng/ul,VLY,,
Sample-47,ESI_06,8/11/2023,9:35:00,8/11/2023,9:35:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",34.5,34.5,Bottom,2,,767A001,413323,44 46.3804,62 26.0875,3.6,Frozen,2023ESI_25,TUBES874,3.8,ng/ul,VLY,,
Sample-48,ESI_06,8/11/2023,9:35:00,8/11/2023,9:35:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",34.5,34.5,Bottom,3,,767A001,413324,44 46.3804,62 26.0875,3.22,Frozen,2023ESI_26,TUBES874,3.45,ng/ul,VLY,,
Sample-49,ESI_08,11/10/2023,8:27:00,11/10/2023,8:27:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",112,112,Deep,1,,978A001,413475,44 40.1969,62 20.8906,,Frozen,2023ESI_27,TUBES874,2.32,ng/ul,VLY,,
Sample-50,ESI_08,11/10/2023,8:27:00,11/10/2023,8:27:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",112,112,Deep,2,,978A001,413476,44 40.1969,62 20.8906,,Frozen,2023ESI_28,TUBES874,1.79,ng/ul,VLY,,
Sample-51,ESI_08,11/10/2023,8:27:00,11/10/2023,8:27:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",112,112,Deep,3,,978A001,413477,44 40.1969,62 20.8906,,Frozen,2023ESI_29,TUBES874,2.23,ng/ul,VLY,,
Sample-52,807-ENEG-1,,,,,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",,,,,lab blank,,,,,,,,,0,ng/ul,VLY,,
Sample-53,843-ENEG-1,,,,,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",,,,,lab blank,,,,,,,,,0,ng/ul,VLY,,
Sample-54,843-ENEG-2,,,,,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",,,,,lab blank,,,,,,,,,0,ng/ul,VLY,,
Sample-55,872-ENEG-1,,,,,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",,,,,lab blank,,,,,,,,,0,ng/ul,VLY,,
Sample-56,877-ENEG-1,,,,,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",,,,,lab blank,,,,,,,,,0,ng/ul,VLY,,
