Species,Confidence,X2023ESI_01,X2023ESI_02,X2023ESI_03,X2023ESI_04,X2023ESI_05,X2023ESI_06,X2023ESI_07,X2023ESI_08,X2023ESI_09,X2023ESI_10,X2023ESI_12,X2023ESI_13,X2023ESI_14,X2023ESI_15,X2023ESI_17,X2023ESI_18,X2023ESI_19,X2023ESI_21,X2023ESI_22,X499612,X499613,X499614,X499615,X499616,X499617,X499618,X499619,X499620,X499621,X499622,X499623,X499624,X499625,X499626,X499627,X499628,X499629,X499630,X499631,X499632,X499633,X499634,X499635,X499636,X499637,X499638,X499639,X499640,X499641,X499642,X499643,X499644,X499645,X499646,X499647,X499648,X499649,X499650,X499651,X499652,X499653,X499654,X499655
Micromonas_pusilla,1,640,2312,494,1473,0,1037,0,291,441,1016,2057,0,759,612,1078,2032,0,319,371,0,0,0,0,0,17,0,0,0,0,0,165,31,100,0,7,45,0,0,60,74,165,0,0,0,0,0,0,0,0,0,32,19,47,0,22,12,23,0,0,0,0,0,0
Micromonas_pusilla,1,41656,6919,18453,3619,0,1643,0,7361,10022,17218,3109,0,2231,15009,14728,6496,0,9756,3784,12287,15963,24077,7619,4681,4256,0,32116,47098,41385,0,3200,8429,3079,1652,40849,55767,59413,0,6561,7214,20364,0,9561,3275,8436,0,59736,76525,72253,0,5975,4910,4644,0,3107,3592,2252,0,27431,54459,60727,0,0
Micromonas_pusilla,1,462,127,116,0,0,0,0,0,0,0,0,0,0,162,166,81,0,108,0,0,170,0,0,0,0,0,265,270,316,0,0,0,0,0,412,449,400,0,0,0,0,0,0,0,0,0,286,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cystoclonium_purpureum,1,323,53,83,65,0,119,0,45,44,201,95,0,110,377,218,165,0,276,93,44,51,75,0,5,0,0,55,131,99,0,10,0,0,0,37,5,0,0,0,0,0,0,0,0,0,0,23,0,0,0,15,0,0,0,4,22,16,0,0,0,8,0,0
Jaera_albifrons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722,4381,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,244,0,0,0,0,0,0,0,0,405,0,0,31,0,0,0,0,0,23,0,0,0,0,0,0,101,0,0,0,0,0,1675,3296,410,0,0,0,0,0,120,283,274,0,0,31,0,0,0,0,0,0,0,85,0,0,0,0,85,0,0
Chondrus_crispus,1,69,46,45,49,0,349,0,77,112,173,228,0,0,114,154,249,0,47,212,82,49,58,0,0,42,0,0,0,65,0,539,146,358,0,25,0,0,0,170,98,216,0,0,0,11,0,817,0,43,0,0,113,49,0,40,0,0,0,82,57,72,0,0
Chondrus_crispus,1,0,0,129,130,0,0,0,177,333,75,0,0,108,0,56,0,0,0,0,0,0,58,87,0,100,0,0,0,0,0,0,0,0,0,288,187,64,0,55,64,107,0,87,49,49,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
Chondrus_crispus,1,223,57,154,0,0,223,0,197,130,171,142,0,0,202,174,221,0,107,0,0,0,0,0,66,136,0,188,22,65,0,401,149,171,0,67,0,0,0,0,0,0,0,0,0,46,0,459,0,0,0,280,73,145,0,0,0,52,0,96,43,97,0,0
Phyllodoce_maculata,1,49,0,623,0,0,0,0,0,0,0,4,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllodoce_maculata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,362,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.97,438,385,590,0,0,0,0,0,439,1061,0,0,0,580,1085,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.96,292,257,230,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.97,882,1153,622,709,0,327,0,401,910,2060,617,0,330,1072,1735,606,0,674,611,164,224,262,0,0,0,0,155,156,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.97,0,108,77,52,0,0,0,0,0,190,45,0,0,101,163,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.97,157,158,139,75,0,60,0,0,140,264,67,0,55,167,266,81,0,105,117,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.95,956,709,627,604,0,0,0,0,748,1688,0,0,331,911,1429,0,0,571,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.97,221043,185091,161371,107625,0,58502,0,96946,137005,373096,89066,0,60621,215198,333603,106246,0,137697,134336,20444,27871,44162,2839,2514,2437,0,36250,23357,31794,0,1224,1130,896,0,5077,10418,9725,0,90,327,562,0,102,27,40,0,663,630,565,0,169,135,245,0,120,230,132,0,411,513,684,0,0
Micromonas_pusilla,0.96,4524,2435,3249,1472,0,636,0,1704,2548,4940,1144,0,938,4198,4215,1343,0,2478,1737,509,856,1272,0,0,0,0,302,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.97,964,1009,951,582,0,364,0,0,746,2615,616,0,337,1438,2143,779,0,0,914,0,229,366,0,0,0,0,406,486,399,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,1,0,0,15,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4970,2508,2046,0,0,96,34,0,0,0,13,0,0,52,0,0,1002,1388,2383,0,1282,593,1065,0,4421,5464,5466,0,582,547,658,0,1160,1009,1218,0,2049,3543,3867,0,0
Micromonas_pusilla,0.97,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,23,73,75,55,0,0,58,0,0,0,0,0,0,0,57,0,0,789,1026,1601,0,405,171,326,0,1098,1235,1030,0,324,158,260,0,133,119,119,0,498,909,1263,0,0
Micromonas_pusilla,0.97,0,36,94,15,0,18,0,24,49,72,27,0,0,0,42,0,0,0,0,46,73,0,1209,733,613,0,97,77,119,0,25,101,0,0,0,124,150,0,2416,2522,3546,0,1852,730,1112,0,3918,5356,5281,0,1064,684,853,0,393,225,251,0,2271,4056,4484,0,0
Micromonas_pusilla,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,139,244,0,0
Micromonas_pusilla,1,184,105,1326,49,0,14,0,646,1038,544,49,0,25,179,431,47,0,143,190,172,160,335,12578,8141,7174,0,538,719,743,0,0,119,9,0,303,360,499,0,568,419,1007,0,554,310,462,0,1299,1306,1180,0,393,111,267,0,154,127,98,0,1407,2299,2554,0,0
Polyides_rotunda,1,324,18538,52,14548,0,0,0,0,50,23,0,0,15037,131,0,0,0,68,5,20,0,10,0,0,0,0,23,0,11,0,0,0,0,0,49,0,0,0,0,0,0,0,70,91,72,0,0,0,0,0,166,136,321,0,65,67,96,0,11,6,0,0,0
Paracalanus_parvus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,428,0,0,0,630,0,515,0,239,0,71,5,18,0,0,48,168,0,182,72,0,0,0
Paracalanus_parvus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,135,0,0,0,79,0,0,0,314,94,0,0,0,0,0,0,0,0,0,623,0,0,0,0
Amphitrite_figulus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphitrite_figulus,1,876,0,346,0,0,55,0,153,177,11,73,0,0,1007,14,55,0,339,53,0,0,0,0,0,0,0,205,160,87,0,154,157,166,0,11,0,0,0,0,0,0,0,36,21,79,0,17,14,7,0,183,19,91,0,17,31,0,0,52,46,55,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,938,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,23947,0,17223,0,11432,0,0,0,84,10290,0,13459,0,709,10609,0,0,2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,0,0,0,0,0,0,0,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,18,33004,0,26205,0,24488,0,0,0,961,16557,0,27487,0,755,10369,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,1776,0,0,0,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calliopius_laeviusculus,1,1417,0,0,0,0,15,0,4,0,0,0,0,0,0,65,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Kelliopsis_elevata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,277,0,0
Hypereteone_heteropoda,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,47,0,0,0,1052,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mytilus_galloprovincialis,1,0,0,0,0,0,0,0,0,122,5,0,0,0,0,16,0,0,75,0,0,0,0,0,38,52,0,0,0,0,0,0,25,63,0,8,0,0,0,215,42,344,0,184,0,0,0,80,0,0,0,16,0,131,0,0,0,0,0,2,0,0,0,0
Asterias_forbesi,1,0,0,60,0,0,0,0,0,0,0,22,0,0,11,0,0,0,22,17,0,0,0,0,0,0,0,0,709,21,0,175,144,334,0,5738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0
Calanus_finmarchicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanothamnus_harveyi,1,140,14,0,0,0,32,0,0,0,30,0,0,77,60,0,56,0,58,0,0,11,0,0,0,7,0,21,0,0,0,1773,274,180,0,0,0,0,0,0,25,260,0,92,0,0,0,3083,48,140,0,262,467,478,0,0,0,0,0,23,15,7,0,0
Alitta_virens,1,901,0,0,21,0,73,0,15,0,0,114,0,0,917,81,0,0,543,0,37,5,17,0,0,7,0,20,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0,0,0,0,0,0,0,0,0,0,0
Glycera_dibranchiata,1,0,0,0,0,0,0,0,0,0,9,0,0,0,11,0,40,0,2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages_typicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,583,0,143,0,140,122,99,0,0,24,0,0,0,0,0,0,0
Centropages_typicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages_typicus,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenicola_marina,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacuna_vincta,1,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botryllus_schlosseri,1,0,0,0,0,0,0,0,0,0,0,30,0,21,0,28,0,0,0,0,36,0,98,0,0,0,0,70,112,0,0,0,0,175,0,119,118,0,0,0,0,0,0,0,0,0,0,0,94,116,0,0,31,0,0,0,9,0,0,0,0,0,0,0
Dasysiphonia_japonica,1,1201,1340,132,1520,0,114,0,0,16,464,18,0,1562,172,504,0,0,10,786,2011,363,88,0,0,0,0,61,0,1014,0,0,511,52,0,1239,120,573,0,0,0,0,0,0,17,0,0,55,0,0,0,769,1506,8886,0,1227,345,88,0,0,0,454,0,0
Dasysiphonia_japonica,1,0,1475,0,870,0,0,0,14,0,395,0,0,1682,0,128,0,0,0,1557,369,364,112,7,0,0,0,0,62,393,0,0,0,0,0,0,0,406,0,823,0,0,0,0,0,39,0,0,0,0,0,558,584,421,0,1180,381,0,0,0,79,163,0,0
Ameritella_agilis,1,18,0,21,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,39,0,245,0,88,0,0,0,74,0,244,0,0,0,116,0,0,0,0,0,0,0,0,312,28,0,0,0,0,0,84,0,91,0,0,27,0,0,70,5,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,2431,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,1146,0,0,0,0,0,0,0,1289,0,0,0,0,16,0,0,0,16,0,0,1066,636,2303,0,0,0,2105,70,0,0,667,3961,9745,0,0,0,28,0,0,0,0,0,0,0,0,0,8564,1877,845,0,1346,5862,2541,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531,16,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,578,0,0,0,0,0,0,0,0,0,0,4057,0,0,0,0,0,0,0,0,0,0,0,0,0,2578,0,0,0,2301,3220,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,1605,0,0,167,0,0,0,0,0,0,0,0,0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceramium_virgatum,1,81,68,69,70,0,293,0,89,163,80,126,0,208,77,119,70,0,55,187,80,96,72,18,0,83,0,0,0,17,0,145,116,62,0,37,49,0,0,0,0,0,0,0,0,0,0,121,10,4,0,17,17,0,0,0,0,0,0,59,4,15,0,0
Turbonilla_powhatani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Mya_arenaria,1,0,0,256,0,0,20,0,531,310,0,0,0,0,233,0,140,0,15,0,0,17,0,214,933,832,0,14,1092,687,0,0,10,75,0,0,0,0,0,0,0,0,0,474,0,0,0,664,0,25,0,0,26,0,0,31,41,0,0,680,0,0,0,0
Pherusa_affinis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherusa_affinis,1,1171,0,5571,0,0,66,0,782,821,0,44,0,73,6112,0,72,0,775,0,2182,2874,378,0,0,0,0,392,231,5850,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Lacuna_vincta,1,0,0,38,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,12205,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,19487,0,0,0,0,0,0,0,0,0,0,0
Lacuna_vincta,1,0,0,119,0,0,120,0,142,0,106,841,0,0,0,177,4210,0,1375,938,725,90208,162,16,0,13,0,2457,1438,546,0,2787,61,0,0,3734,0,0,0,0,0,0,0,2528,0,0,0,2722,0,0,0,1165,0,15624,0,28,55,0,0,55,3,17,0,0
Acrochaetium_moniliforme,1,33,0,0,0,0,0,0,0,0,0,0,0,16,18,95,0,0,72,0,125,187,222,0,0,0,0,1629,156,808,0,512,153,174,0,0,50,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,23,141,0,0,0,0,0,403,0,96,0,0
Callithamnion_corymbosum,1,15,73,6,28,0,0,0,7,0,77,6,0,4,0,30,0,0,4,129,7,18,24,0,0,0,0,0,0,0,0,22,14,6,0,0,0,0,0,0,21,19,0,217,8,609,0,2256,0,26,0,59,288,184,0,360,10,27,0,0,9,7,0,0
Polydora_onagawaensis,1,0,0,0,0,0,0,0,0,23,0,13,0,8731,0,0,8045,0,0,31,0,0,0,0,0,0,0,4176,0,0,0,0,0,0,0,1155,1155,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balanus_rostratus,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphibalanus_improvisus,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3272,2454,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obelia_geniculata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587,0,112,0,0,0,82,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolea_zostericola,1,0,0,0,15,0,167,0,0,155,709,318,0,17,0,930,100,0,0,450,0,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
