,X888.ENEG.1,X888.ENEG.2,X889.ENEG.1,X889.ENEG.2,X890.ENEG.1,X890.ENEG.2,X891.ENEG.1,X891.ENEG.2,X892.ENEG.1,X893.ENEG.1,X893.ENEG.2,X933.ENEG.1,X933.ENEG.2,X934.ENEG.1,AZMP2024.EDNA.001,AZMP2024.EDNA.002,AZMP2024.EDNA.005,AZMP2024.EDNA.006,AZMP2024.EDNA.016,AZMP2024.EDNA.017,AZMP2024.EDNA.018,AZMP2024.EDNA.019,AZMP2024.EDNA.020,AZMP2024.EDNA.021,AZMP2024.EDNA.037,AZMP2024.EDNA.038,AZMP2024.EDNA.039,AZMP2024.EDNA.040,AZMP2024.EDNA.041,AZMP2024.EDNA.042,AZMP2024.EDNA.052,AZMP2024.EDNA.053,AZMP2024.EDNA.054,AZMP2024.EDNA.055,AZMP2024.EDNA.056,AZMP2024.EDNA.057,AZMP2024.EDNA.058,AZMP2024.EDNA.059,AZMP2024.EDNA.060,AZMP2024.EDNA.061,AZMP2024.EDNA.062,AZMP2024.EDNA.063,SAB24.EDNA.001,SAB24.EDNA.002,SAB24.EDNA.003,SAB24.EDNA.004,SAB24.EDNA.005,SAB24.EDNA.006,SAB24.EDNA.007,SAB24.EDNA.008,SAB24.EDNA.009,SAB24.EDNA.010,SAB24.EDNA.011,SAB24.EDNA.012,SAB24.EDNA.013,SAB24.EDNA.014,SAB24.EDNA.015,SAB24.EDNA.016,SAB24.EDNA.017,SAB24.EDNA.018,SAB24.EDNA.019,SAB24.EDNA.020,SAB24.EDNA.021,SAB24.EDNA.022,SAB24.EDNA.023,SAB24.EDNA.024,SAB24.EDNA.025,SAB24.EDNA.026,SAB24.EDNA.027,SAB24.EDNA.028,SAB24.EDNA.029,SAB24.EDNA.030,SAB24.EDNA.031,SAB24.EDNA.032,SAB24.EDNA.033,SAB24.EDNA.034,SAB24.EDNA.035,SAB24.EDNA.036,SAB24.EDNA.037,SAB24.EDNA.038,SAB24.EDNA.039,SAB24.EDNA.040,SAB24.EDNA.041,SAB24.EDNA.042,SAB24.EDNA.043,SAB24.EDNA.044,SAB24.EDNA.045,SAB24.EDNA.046,SAB24.EDNA.047,SAB24.EDNA.048,SAB24.EDNA.049,SAB24.EDNA.050,SAB24.EDNA.051,SAB24.EDNA.052,SAB24.EDNA.053,SAB24.EDNA.054,SAB24.EDNA.055,SAB24.EDNA.056,SAB24.EDNA.057,SAB24.EDNA.058,SAB24.EDNA.059,SAB24.EDNA.060,SAB24.EDNA.061,SAB24.EDNA.062,SAB24.EDNA.063,SAB24.EDNA.064,SAB24.EDNA.065,SAB24.EDNA.066,SAB24.EDNA.067,SAB24.EDNA.068,SAB24.EDNA.069,SAB24.EDNA.070,SAB24.EDNA.071,SAB24.EDNA.072,SAB24.EDNA.073,SAB24.EDNA.074,SAB24.EDNA.075,SAB24.EDNA.076,SAB24.EDNA.077,SAB24.EDNA.078,SAB24.EDNA.079,SAB24.EDNA.080,SAB24.EDNA.081,SAB24.EDNA.082,SAB24.EDNA.083,SAB24.EDNA.084,SAB24.EDNA.085,SAB24.EDNA.086,SAB24.EDNA.087,SAB24.EDNA.088,SAB24.EDNA.089,SAB24.EDNA.090,SAB24.EDNA.091,SAB24.EDNA.092,SAB24.EDNA.093,SAB24.EDNA.094,SAB24.EDNA.095,SAB24.EDNA.096,SAB24.EDNA.097,SAB24.EDNA.098,SAB24.EDNA.099,SAB24.EDNA.100,SAB24.EDNA.101,SAB24.EDNA.102,SAB24.EDNA.103,SAB24.EDNA.104,SAB24.EDNA.105,SAB24.EDNA.106,SAB24.EDNA.107,SAB24.EDNA.108,SAB24.EDNA.109,SAB24.EDNA.110,SAB24.EDNA.111,SAB24.EDNA.112,Phylum,V14,Class,V16,V17,V18,V19,V20,V21,V23,V24,V26,Species,V29
470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Centropagidae,1,Centropages,1,Centropages_hamatus,1
471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Centropagidae,1,Centropages,1,Centropages_hamatus,1
478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17,13,15,11,7,61,0,0,0,0,34,6,0,26,29,28,19,19,0,34,92,33,39,10,0,61,0,21,0,0,0,0,0,15,16,7,33,27,25,10,0,20,23,21,19,17,21,28,5,0,8,0,0,0,0,0,0,0,11,21,0,44,14,29,33,54,0,0,56,79,64,13,26,47,0,288,262,228,136,78,49,0,12,0,0,0,0,4,0,0,0,0,0,0,24,48,48,0,0,0,0,0,0,40,0,6,0,15,5,0,0,0,0,0,0,Echinodermata,1,Holothuroidea,class,1,Dendrochirotida,order,1,Psolidae,1,Psolus,1,Psolus_phantapus,1
487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,139,226,338,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Sternaspidae,1,Sternaspis,1,Sternaspis_scutata,1
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,40,15,56,0,0,0,11,0,0,62,0,24,0,239,102,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,98,259,111,188,126,81,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Annelida,1,Polychaeta,class,1,undef_Polychaeta,order,1,Opheliidae,1,Ophelina,1,Ophelina_acuminata_CMC01,1
507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,34,32,28,20,29,0,79,15,21,0,0,0,0,0,62,43,53,29,28,17,79,142,77,67,9,36,153,110,58,0,0,0,0,0,28,43,17,38,101,35,20,15,102,52,35,50,17,21,24,10,9,0,0,0,0,0,0,0,23,14,24,26,45,16,34,17,21,0,0,38,102,19,0,0,0,0,39,85,48,14,20,34,25,0,23,23,0,15,59,0,23,0,15,0,0,10,36,14,0,0,0,42,4,12,18,0,21,10,34,0,30,0,0,0,0,0,Echinodermata,1,Echinoidea,class,1,Camarodonta,order,1,Strongylocentrotidae,1,Strongylocentrotus,1,Strongylocentrotus_pallidus,1
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,89,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,Echinodermata,1,Echinoidea,class,1,Camarodonta,order,1,Strongylocentrotidae,1,Strongylocentrotus,1,Strongylocentrotus_droebachiensis,1
517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,39,0,0,0,0,110,122,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,275,104,208,622,441,1071,21,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Echinodermata,1,Holothuroidea,class,1,Molpadida,order,0.99,Molpadiidae,0.99,Molpadia,0.99,Molpadia_intermedia,0.99
522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,8,0,50,154,0,38,9,0,0,0,0,2,0,0,0,0,9,9,0,0,0,0,24,0,0,0,39,9,0,0,125,0,0,0,21,43,121,0,27,0,127,294,115,168,28,8,48,73,88,107,65,100,172,790,176,184,150,333,92,32,381,12,49,21,0,0,0,0,0,0,0,0,0,35,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,55,0,0,6,0,0,0,176,0,55,0,0,17,0,426,9,19,0,0,0,0,56,Arthropoda,1,Hexanauplia,class,1,Cyclopoida,order,1,Oithonidae,1,Oithona,1,Oithona_similis,1
528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Annelida,1,Polychaeta,class,1,Phyllodocida,order,1,Glyceridae,1,Glycera,1,Glycera_capitata,1
530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,Annelida,1,Polychaeta,class,1,Phyllodocida,order,1,Glyceridae,1,Glycera,1,Glycera_capitata,1
542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,31,0,21,94,63,24,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,20,92,45,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cnidaria,1,Scyphozoa,class,1,Semaeostomeae,order,1,Ulmaridae,1,Phacellophora,1,Phacellophora_camtschatica,1
551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chordata,1,Actinopteri,class,1,Gadiformes,order,1,Merlucciidae,1,Merluccius,1,Merluccius_bilinearis,1
552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chordata,1,Actinopteri,class,1,Gadiformes,order,1,Merlucciidae,1,Merluccius,1,Merluccius_bilinearis,1
553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167,7593,0,0,74,32,0,45,61,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chordata,1,Actinopteri,class,1,Gadiformes,order,1,Merlucciidae,1,Merluccius,1,Merluccius_bilinearis,1
562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,73,247,9,0,0,0,26,5,0,6,0,0,0,0,0,46,63,23,32,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,22,11,0,0,0,0,0,2,0,0,0,5,0,14,0,47,0,92,0,11,37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Terebellidae,1,Lanassa,1,Lanassa_venusta,1
575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Clausocalanidae,1,Pseudocalanus,1,Pseudocalanus_newmani,1
578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Clausocalanidae,1,Pseudocalanus,1,Pseudocalanus_newmani,1
579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,0,0,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Clausocalanidae,1,Pseudocalanus,1,Pseudocalanus_newmani,1
580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,5450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Clausocalanidae,1,Pseudocalanus,1,Pseudocalanus_newmani,1
584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Clausocalanidae,1,Pseudocalanus,1,Pseudocalanus_newmani,1
586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Clausocalanidae,1,Pseudocalanus,1,Pseudocalanus_newmani,1
588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,0,0,0,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,254,0,0,0,726,0,0,1063,0,0,0,0,0,0,0,273,76,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,146,0,0,1112,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Centropagidae,1,Centropages,1,Centropages_hamatus,1
589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Centropagidae,1,Centropages,1,Centropages_hamatus,1
590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,595,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,8,0,0,0,0,124,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Centropagidae,1,Centropages,1,Centropages_hamatus,1
592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6795,0,0,0,0,0,0,0,0,0,65,647,0,225,0,350,2585,0,0,0,0,0,0,100,0,598,0,18,625,100,0,922,60,0,257,132,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,130,0,0,0,0,1690,0,0,29,0,292,1063,0,1642,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Centropagidae,1,Centropages,1,Centropages_hamatus,1
595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Aetideidae,1,Aetideus,1,Aetideus_armatus,1
610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,67,57,28,34,0,5,40,25,35,28,95,35,469,0,43,48,87,48,19,0,204,20,30,40,36,26,8,41,4,26,0,85,11014,263,174,0,19,18,20,0,24,0,7,50,73,27,22,17,41,36,2254,48,23,24,27,12,24,14,0,0,0,0,0,0,30,29,42,66,67,57,274,195,219,0,0,220,477,214,26,121,129,0,292,432,292,313,602,213,92,687,59,64,50,71,88,18,74,0,48,7,24,218,313,148,0,0,0,0,0,0,84,0,179,41,115,136,137,0,0,0,0,0,Echinodermata,1,Echinoidea,class,1,Clypeasteroida,order,1,Echinarachniidae,1,Echinarachnius,1,Echinarachnius_parma,1
612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Echinodermata,1,Echinoidea,class,1,Clypeasteroida,order,1,Echinarachniidae,1,Echinarachnius,1,Echinarachnius_parma,1
617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,668,346,1163,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,24,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,37,23,8,0,0,0,0,71,0,0,0,12,10,32,0,84,0,6,0,44,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Annelida,1,Polychaeta,class,1,undef_Polychaeta,order,1,Orbiniidae,1,Scoloplos,1,Scoloplos_acutus,1
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,95,455,0,0,0,0,0,0,0,0,0,0,8,0,0,51,43,0,11,0,19,33,47,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Annelida,0.99,Polychaeta,class,0.99,undef_Polychaeta,order,0.99,Maldanidae,0.99,Clymenella,0.99,Clymenella_zonalis,0.99
