sample-id	watersample	concentration	depth	station	habitatclass
#q2:types	categorical	numeric	numeric	categorical	categorical
953-ENEG-1	labblank	0	0	labblank	
953-ENEG-2	labblank	0	0	labblank	
954-ENEG-1	labblank	0	0	labblank	
954-ENEG-2	labblank	0	0	labblank	
955-ENEG-1	labblank	0	0	labblank	
955-ENEG-2	labblank	0	0	labblank	
956-ENEG-1	labblank	0	0	labblank	
956-ENEG-2	labblank	0	0	labblank	
957-ENEG-1	labblank	0	0	labblank	
957-ENEG-2	labblank	0	0	labblank	
958-ENEG-1	labblank	0	0	labblank	
958-ENEG-2	labblank	0	0	labblank	
959-ENEG-1	labblank	0	0	labblank	
AZMP2024-EDNA-003	511796	0	1082.46	BBL_06	
AZMP2024-EDNA-004	511797	0	1082.46	BBL_06	
AZMP2024-EDNA-007	511842	0	101.15	BBL_04	
AZMP2024-EDNA-008	511843	0	101.15	BBL_04	
AZMP2024-EDNA-009	field blank	0	0	BLANK_1	
AZMP2024-EDNA-043	512722	0	2023.02	GUL_04	
AZMP2024-EDNA-044	512723	0	2023.02	GUL_04	
AZMP2024-EDNA-045	512729	0	1000	GUL_04	
AZMP2024-EDNA-046	512729	0	1000	GUL_04	
AZMP2024-EDNA-047	field blank	0	0	BLANK_3	
AZMP2024-EDNA-048	512747	0	3719	LL_09	
AZMP2024-EDNA-049	512747	0	3719	LL_09	
AZMP2024-EDNA-050	512773	0	746.27	LL_07	
AZMP2024-EDNA-051	512772	0	746.27	LL_07	
PER25-100	625099	0	56	CURDO_02	
PER25-101	625100	0	36	CURDO_10	
PER25-102	625101	0	36	CURDO_10	
PER25-103	625102	0	36	CURDO_10	
PER25-104	625103	0	25	CURDO_03	
PER25-105	625104	0	25	CURDO_03	
PER25-106	625105	0	25	CURDO_03	
PER25-107	625106	0	44	CURDO_06	
PER25-108	625107	0	44	CURDO_06	
PER25-109	625108	0	44	CURDO_06	
PER25-10	625007	0	37.7	SAB_04	
PER25-110	625109	0	56	CURDO_09	
PER25-111	625110	0	56	CURDO_09	
PER25-112	625111	0	56	CURDO_09	
PER25-113	625112	0	0	BLANK	
PER25-114	625113	0	56	SCATARIE_NEW_	
PER25-115	625114	0	56	SCATARIE_NEW_	
PER25-116	625115	0	56	SCATARIE_NEW_	
PER25-117	625116	0	0	BLANK	
PER25-118	625117	0	232	DEEP_01	
PER25-119	625118	0	232	DEEP_01	
PER25-11	625008	0	37.7	SAB_04	
PER25-120	625119	0	232	DEEP_01	
PER25-121	625120	0	284	DEEP_02	
PER25-122	625121	0	284	DEEP_02	
PER25-123	625122	0	284	DEEP_02	
PER25-124	625123	0	284	DEEP_02	
PER25-125	625124	0	284	DEEP_02	
PER25-126	625125	0	284	DEEP_02	
PER25-127	625126	0	0	BLANK	
PER25-12	625009	0	37.7	SAB_04	
PER25-13	625010	0	58	SAB_03	
PER25-14	625011	0	58	SAB_03	
PER25-15	625012	0	58	SAB_03	
PER25-16	625013	0	53.6	SAB_02	
PER25-17	625014	0	53.6	SAB_02	
PER25-18	625015	0	53.6	SAB_02	
PER25-19	625016	0	74	SAB_06	
PER25-1	kpca_edna_01	0	0.5	KIPCA_01	
PER25-20	625017	0	74	SAB_06	
PER25-21	625018	0	74	SAB_06	
PER25-22	625019	0	89.2	SAB_05	
PER25-23	625020	0	89.2	SAB_05	
PER25-24	625021	0	89.2	SAB_05	
PER25-25	625022	0	61.4	SAB_01	
PER25-26	625023	0	61.4	SAB_01	
PER25-27	625025	0	20.3	CURDO_10	
PER25-28	625026	0	20.3	CURDO_10	
PER25-29	625027	0	20.3	CURDO_10	
PER25-2	kpca_edna_01	0	0.5	KIPCA_01	
PER25-30	625028	0	49.3	CURDO_11	
PER25-31	625029	0	49.3	CURDO_11	
PER25-32	625030	0	49.3	CURDO_11	
PER25-33	625031	0	48	CURDO_01	
PER25-34	625032	0	48	CURDO_01	
PER25-35	625033	0	48	CURDO_01	
PER25-36	625034	0	60.1	CURDO_04	
PER25-37	625035	0	60.1	CURDO_04	
PER25-38	625036	0	60.1	CURDO_04	
PER25-39	625037	0	0	BLANK	
PER25-3	kpca_edna_01	0	0.5	KIPCA_01	
PER25-40	625038	0	67.7	CURDO_07	
PER25-41	625039	0	67.7	CURDO_07	
PER25-42	625040	0	67.7	CURDO_07	
PER25-43	625041	0	93	SAB_09	
PER25-44	625042	0	93	SAB_09	
PER25-45	625043	0	93	SAB_09	
PER25-46	625044	0	125	SAB_14	
PER25-47	625045	0	125	SAB_14	
PER25-48	625046	0	125	SAB_14	
PER25-49	625047	0	101	SAB_15	
PER25-4	625001	0	68	SAB_07	
PER25-50	625048	0	101	SAB_15	
PER25-51	625049	0	101	SAB_15	
PER25-52	625050	0	130	SAB_19	
PER25-53	625051	0	130	SAB_19	
PER25-54	625052	0	130	SAB_19	
PER25-55	625053	0	130	SAB_20	
PER25-56	625054	0	130	SAB_20	
PER25-57	625055	0	130	SAB_20	
PER25-58	625056	0	88	SAB_16	
PER25-59	625057	0	88	SAB_16	
PER25-5	625002	0	68	SAB_07	
PER25-60	625058	0	88	SAB_16	
PER25-61	625059	0	56.2	Scatarie_4	
PER25-62	625060	0	56.2	Scatarie_4	
PER25-63	625061	0	56.2	Scatarie_4	
PER25-64	625062	0	46.1	Scatarie_10	
PER25-65	625063	0	46.1	Scatarie_10	
PER25-66	625064	0	46.1	Scatarie_10	
PER25-67	625065	0	52.8	Scatarie_6	
PER25-68	625066	0	52.8	Scatarie_6	
PER25-69	625067	0	52.8	Scatarie_6	
PER25-6	625003	0	68	SAB_07	
PER25-70	625068	0	47.3	Scatarie_5	
PER25-71	625069	0	47.3	Scatarie_5	
PER25-72	625070	0	47.3	Scatarie_5	
PER25-73	625071	0	62.9	SAB_10	
PER25-74	625072	0	62.9	SAB_10	
PER25-75	625073	0	62.9	SAB_10	
PER25-76	625074	0	0	BLANK	
PER25-77	625075	0	77.6	SAB_11	
PER25-78	625076	0	77.6	SAB_11	
PER25-79	625077	0	77.6	SAB_11	
PER25-7	625004	0	61.2	SAB_08	
PER25-80	625078	0	76.5	SAB_12	
PER25-81	625079	0	76.5	SAB_12	
PER25-82	625080	0	76.5	SAB_12	
PER25-83	625081	0	102	SAB_17	
PER25-84	625082	0	102	SAB_17	
PER25-85	625083	0	102	SAB_17	
PER25-86	625084	0	124	SAB_18	
PER25-87	625085	0	124	SAB_18	
PER25-88	625086	0	124	SAB_18	
PER25-89	625087	0	107	SAB_13	
PER25-8	625005	0	61.2	SAB_08	
PER25-90	625088	0	107	SAB_13	
PER25-91	625089	0	107	SAB_13	
PER25-92	625090	0	0	BLANK	
PER25-93	625091	0	54	SAB_08	
PER25-94	625092	0	54	SAB_08	
PER25-95	625093	0	54	SAB_08	
PER25-96	625094	0	56	CURDO_05	
PER25-97	625095	0	56	CURDO_05	
PER25-99	625098	0	56	CURDO_02	
PER25-9	625006	0	61.2	SAB_08	
